,address,area,city,detail,location,name,province,street_id,uid
41,河南省郑州市金水区健身路与凌云路交叉口,金水区,郑州市,1,"{'lat': 34.813591, 'lng': 113.813514}",河南财政金融学院龙子湖校区运动场,河南省,,567de17724b00ded4207c146
42,健身路与凌云路交叉口西北100米,金水区,郑州市,1,"{'lat': 34.812931, 'lng': 113.812802}",河南财政金融学院(龙子湖校区)篮球场,河南省,,7dde7ab2a970832840024556
43,河南省郑州市金水区健身路与凌云路交叉口,金水区,郑州市,1,"{'lat': 34.813591, 'lng': 113.813514}",河南财政金融学院龙子湖校区运动场,河南省,,567de17724b00ded4207c146
44,东四环路西150米,金水区,郑州市,1,"{'lat': 34.802931, 'lng': 113.834512}",河南农业大学龙子湖校区羽毛球馆,河南省,5cf8baa6a65d88988d772762,5cf8baa6a65d88988d772762
45,北环路36号,金水区,郑州市,1,"{'lat': 34.804817, 'lng': 113.834868}",篮球场,河南省,c808a2e93950240443afe6bd,c808a2e93950240443afe6bd
46,郑开大道龙阳路交通职业技术学院内,中牟县,郑州市,1,"{'lat': 34.79437, 'lng': 113.898965}",河南交通职业技术学院-乒乓球场,河南省,,79f411ce83319c3880a00cba
47,东四环路西150米,金水区,郑州市,1,"{'lat': 34.802931, 'lng': 113.834512}",河南农业大学龙子湖校区羽毛球馆,河南省,5cf8baa6a65d88988d772762,5cf8baa6a65d88988d772762
48,北环路36号,金水区,郑州市,1,"{'lat': 34.804817, 'lng': 113.834868}",篮球场,河南省,c808a2e93950240443afe6bd,c808a2e93950240443afe6bd
49,郑开大道龙阳路交通职业技术学院内,中牟县,郑州市,1,"{'lat': 34.79437, 'lng': 113.898965}",河南交通职业技术学院-乒乓球场,河南省,,79f411ce83319c3880a00cba
50,东四环路西150米,金水区,郑州市,1,"{'lat': 34.802931, 'lng': 113.834512}",河南农业大学龙子湖校区羽毛球馆,河南省,5cf8baa6a65d88988d772762,5cf8baa6a65d88988d772762
51,北环路36号,金水区,郑州市,1,"{'lat': 34.804817, 'lng': 113.834868}",篮球场,河南省,c808a2e93950240443afe6bd,c808a2e93950240443afe6bd
52,郑开大道龙阳路交通职业技术学院内,中牟县,郑州市,1,"{'lat': 34.79437, 'lng': 113.898965}",河南交通职业技术学院-乒乓球场,河南省,,79f411ce83319c3880a00cba
53,郑开大道龙阳路交通职业技术学院内,中牟县,郑州市,1,"{'lat': 34.79437, 'lng': 113.898965}",河南交通职业技术学院-乒乓球场,河南省,,79f411ce83319c3880a00cba
